ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
EWU,0.08049,0.29883,0.26851,0.29692,0.05525,0.00000
EWG,0.17191,0.31301,0.23279,0.19926,0.08303,0.00000
EWL,0.09482,0.28418,0.31089,0.23285,0.07726,0.00000
EWQ,0.17493,0.26022,0.23138,0.26772,0.06575,0.00000
IEUS,0.19590,0.25533,0.22596,0.25017,0.07264,0.00000
EWJ,0.10479,0.33589,0.32879,0.16233,0.06820,0.00000
EWT,0.15198,0.11714,0.24495,0.27459,0.21134,0.01258
MCHI,0.39957,0.17523,0.12262,0.11702,0.18556,0.00000
INDA,0.12629,0.19488,0.19535,0.24172,0.24176,0.02906
EWY,0.26492,0.21802,0.17692,0.15861,0.18153,0.00000
EWA,0.14792,0.21930,0.27175,0.26592,0.09511,0.00000
EWH,0.27396,0.25466,0.21624,0.13932,0.11582,0.00000
EWZ,0.41739,0.10549,0.09621,0.09132,0.28959,0.00000
EWC,0.04787,0.23335,0.39480,0.25109,0.07289,0.00000
IEMG,0.20112,0.23925,0.25014,0.21815,0.09134,0.00000
LQD,0.16688,0.34735,0.29913,0.15419,0.03245,0.00000
HYG,0.06494,0.33877,0.41973,0.14998,0.02658,0.00000
SHY,0.13675,0.34503,0.31071,0.17511,0.03240,0.00000
IEF,0.18183,0.28675,0.31876,0.16406,0.04860,0.00000
TLT,0.21031,0.24575,0.20389,0.21656,0.12349,0.00000
SEGA.L,0.12075,0.33348,0.32333,0.18204,0.04040,0.00000
IEAA.L,0.13679,0.26941,0.42250,0.14162,0.02968,0.00000
HIGH.L,0.04608,0.31096,0.50981,0.09374,0.03941,0.00000
JPEA.L,0.12089,0.32428,0.27593,0.23576,0.04314,0.00000
IAU,0.17758,0.19277,0.22991,0.19647,0.20327,0.03409
SLV,0.33013,0.14558,0.13406,0.13990,0.25033,0.00000
GSG,0.14926,0.17278,0.15551,0.20832,0.31413,0.08317
REET,0.07906,0.20496,0.38036,0.29583,0.03979,0.00000
ICLN,0.30996,0.12048,0.16819,0.14079,0.26058,0.00000
IXN,0.07236,0.17565,0.17356,0.25306,0.32537,0.00000
IGF,0.08575,0.28078,0.31138,0.30247,0.01962,0.00000
IUVL.L,0.10472,0.24966,0.40337,0.17936,0.06289,0.00000
IUMO.L,0.20562,0.17659,0.18265,0.26973,0.16541,0.00000
SPMV.L,0.09535,0.22362,0.28165,0.28491,0.11447,0.43100
IEVL.L,0.15423,0.24171,0.26524,0.28064,0.05818,0.00000
IEFM.L,0.19853,0.25787,0.24026,0.18262,0.12072,0.00045
MVEU.L,0.09664,0.29321,0.29304,0.27108,0.04603,0.00000
XLK,0.04880,0.17411,0.23649,0.17717,0.36343,0.00000
XLF,0.09535,0.24402,0.24092,0.28140,0.13831,0.00000
XLV,0.04829,0.24361,0.32550,0.28366,0.09894,0.00000
XLE,0.20265,0.18800,0.11882,0.13784,0.35269,0.00000
XLY,0.03664,0.21257,0.27017,0.31739,0.16323,0.00000
XLI,0.04274,0.26299,0.34805,0.29840,0.04782,0.00000
XLC,0.18528,0.22046,0.25437,0.27777,0.06212,0.00000
XLU,0.10493,0.22754,0.20555,0.26205,0.19993,0.00000
XLP,0.04963,0.23020,0.41423,0.24162,0.06432,0.00000
XLB,0.13903,0.18860,0.27618,0.31203,0.08416,0.00000
VXX,0.59150,0.11857,0.04163,0.02411,0.22419,0.04860
